timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_164320,phase_6,flan-t5-large,qasc,paraphrase,0,20,500,2266,0.5900,control,0.3436,0.6060
20260422_164320,phase_6,flan-t5-large,qasc,paraphrase,0,20,500,2266,0.5900,metacognition,0.6426,0.3820
20260422_164320,phase_6,flan-t5-large,qasc,paraphrase,0,20,500,2266,0.5900,structure,0.1524,0.2280
20260422_164320,phase_6,flan-t5-large,qasc,paraphrase,0,20,500,2266,0.5900,politeness,0.3488,0.6220
