timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_200259,phase_4,pythia-410m,cola,synonym,3,20,500,2266,0.6923,control,0.0151,0.6120
20260408_200259,phase_4,pythia-410m,cola,synonym,3,20,500,2266,0.6923,metacognition,0.0313,0.0860
20260408_200259,phase_4,pythia-410m,cola,synonym,3,20,500,2266,0.6923,structure,0.0000,0.6040
20260408_200259,phase_4,pythia-410m,cola,synonym,3,20,500,2266,0.6923,politeness,0.0111,0.5700
