timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_184222,phase_4,flan-t5-large,qasc,synonym,1,20,500,86379,0.6465,control,0.1226,0.6280
20260408_184222,phase_4,flan-t5-large,qasc,synonym,1,20,500,86379,0.6465,metacognition,0.1387,0.3560
20260408_184222,phase_4,flan-t5-large,qasc,synonym,1,20,500,86379,0.6465,structure,0.0130,0.2140
20260408_184222,phase_4,flan-t5-large,qasc,synonym,1,20,500,86379,0.6465,politeness,0.1253,0.6120
