timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_102049,phase_6,phi-3-mini,cola,synonym,3,20,500,86379,0.7800,control,0.2502,0.7600
20260422_102049,phase_6,phi-3-mini,cola,synonym,3,20,500,86379,0.7800,metacognition,0.8006,0.7700
20260422_102049,phase_6,phi-3-mini,cola,synonym,3,20,500,86379,0.7800,structure,0.8096,0.8000
20260422_102049,phase_6,phi-3-mini,cola,synonym,3,20,500,86379,0.7800,politeness,0.1751,0.7640
