timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_031906,phase_4,phi-3-mini,qasc,synonym,3,20,500,105,0.7400,control,0.2320,0.7760
20260408_031906,phase_4,phi-3-mini,qasc,synonym,3,20,500,105,0.7400,metacognition,0.2405,0.7680
20260408_031906,phase_4,phi-3-mini,qasc,synonym,3,20,500,105,0.7400,structure,0.2872,0.7160
20260408_031906,phase_4,phi-3-mini,qasc,synonym,3,20,500,105,0.7400,politeness,0.2215,0.7780
