timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_125255,phase_4,phi-3-mini,qasc,synonym,5,20,500,2266,0.8000,control,0.2439,0.7820
20260408_125255,phase_4,phi-3-mini,qasc,synonym,5,20,500,2266,0.8000,metacognition,0.2463,0.7740
20260408_125255,phase_4,phi-3-mini,qasc,synonym,5,20,500,2266,0.8000,structure,0.2828,0.6740
20260408_125255,phase_4,phi-3-mini,qasc,synonym,5,20,500,2266,0.8000,politeness,0.2417,0.7880
