timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_142855,phase_4,flan-t5-large,csqa,synonym,5,20,500,105,0.8000,control,0.2642,0.8320
20260408_142855,phase_4,flan-t5-large,csqa,synonym,5,20,500,105,0.8000,metacognition,0.2587,0.6280
20260408_142855,phase_4,flan-t5-large,csqa,synonym,5,20,500,105,0.8000,structure,0.1201,0.5080
20260408_142855,phase_4,flan-t5-large,csqa,synonym,5,20,500,105,0.8000,politeness,0.2649,0.8260
