timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260417_064230,phase_5,llama-3.2-1b,cola,paraphrase,0,20,500,105,0.7000,control,0.6235,0.6740
20260417_064230,phase_5,llama-3.2-1b,cola,paraphrase,0,20,500,105,0.7000,metacognition,0.3144,0.4580
20260417_064230,phase_5,llama-3.2-1b,cola,paraphrase,0,20,500,105,0.7000,structure,0.0000,0.0000
20260417_064230,phase_5,llama-3.2-1b,cola,paraphrase,0,20,500,105,0.7000,politeness,0.6175,0.6740
