timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260421_224853,phase_6,llama-3.2-1b,cola,synonym,1,20,500,105,0.7000,control,0.3599,0.6740
20260421_224853,phase_6,llama-3.2-1b,cola,synonym,1,20,500,105,0.7000,metacognition,0.6144,0.4700
20260421_224853,phase_6,llama-3.2-1b,cola,synonym,1,20,500,105,0.7000,structure,0.0000,0.0000
20260421_224853,phase_6,llama-3.2-1b,cola,synonym,1,20,500,105,0.7000,politeness,0.4652,0.6740
