timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260417_194122,phase_5,pythia-410m,cola,synonym,1,20,500,2266,0.6923,control,0.5254,0.6120
20260417_194122,phase_5,pythia-410m,cola,synonym,1,20,500,2266,0.6923,metacognition,0.6436,0.0860
20260417_194122,phase_5,pythia-410m,cola,synonym,1,20,500,2266,0.6923,structure,0.3320,0.5960
20260417_194122,phase_5,pythia-410m,cola,synonym,1,20,500,2266,0.6923,politeness,0.4891,0.5800
