timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_170602,phase_4,flan-t5-large,cola,synonym,1,20,500,86379,0.6400,control,0.1353,0.6580
20260408_170602,phase_4,flan-t5-large,cola,synonym,1,20,500,86379,0.6400,metacognition,0.1452,0.6940
20260408_170602,phase_4,flan-t5-large,cola,synonym,1,20,500,86379,0.6400,structure,0.1163,0.7260
20260408_170602,phase_4,flan-t5-large,cola,synonym,1,20,500,86379,0.6400,politeness,0.1556,0.7320
