timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_132923,phase_6,flan-t5-large,qasc,synonym,3,20,500,105,0.6200,control,0.2255,0.6340
20260422_132923,phase_6,flan-t5-large,qasc,synonym,3,20,500,105,0.6200,metacognition,0.7378,0.3700
20260422_132923,phase_6,flan-t5-large,qasc,synonym,3,20,500,105,0.6200,structure,0.1592,0.2220
20260422_132923,phase_6,flan-t5-large,qasc,synonym,3,20,500,105,0.6200,politeness,0.2331,0.6340
