timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_135619,phase_4,flan-t5-base,qasc,paraphrase,0,20,500,105,0.4200,control,0.3167,0.4540
20260408_135619,phase_4,flan-t5-base,qasc,paraphrase,0,20,500,105,0.4200,metacognition,0.3088,0.4240
20260408_135619,phase_4,flan-t5-base,qasc,paraphrase,0,20,500,105,0.4200,structure,0.1530,0.4060
20260408_135619,phase_4,flan-t5-base,qasc,paraphrase,0,20,500,105,0.4200,politeness,0.3222,0.4680
