timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260417_005907,phase_5,llama-3.2-1b-instruct,cola,synonym,5,20,500,2266,0.7010,control,0.0553,0.6600
20260417_005907,phase_5,llama-3.2-1b-instruct,cola,synonym,5,20,500,2266,0.7010,metacognition,0.2925,0.0040
20260417_005907,phase_5,llama-3.2-1b-instruct,cola,synonym,5,20,500,2266,0.7010,structure,0.4028,0.4980
20260417_005907,phase_5,llama-3.2-1b-instruct,cola,synonym,5,20,500,2266,0.7010,politeness,0.0046,0.6720
