timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_133631,phase_6,phi-3-mini,csqa,synonym,3,20,500,86379,0.7800,control,0.2860,0.7460
20260422_133631,phase_6,phi-3-mini,csqa,synonym,3,20,500,86379,0.7800,metacognition,0.4600,0.7240
20260422_133631,phase_6,phi-3-mini,csqa,synonym,3,20,500,86379,0.7800,structure,0.9110,0.7080
20260422_133631,phase_6,phi-3-mini,csqa,synonym,3,20,500,86379,0.7800,politeness,0.4199,0.7520
