timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_050107,phase_6,llama-3.2-1b-instruct,cola,paraphrase,0,20,500,86379,0.6700,control,0.0138,0.7140
20260422_050107,phase_6,llama-3.2-1b-instruct,cola,paraphrase,0,20,500,86379,0.6700,metacognition,0.9221,0.3280
20260422_050107,phase_6,llama-3.2-1b-instruct,cola,paraphrase,0,20,500,86379,0.6700,structure,0.5876,0.5200
20260422_050107,phase_6,llama-3.2-1b-instruct,cola,paraphrase,0,20,500,86379,0.6700,politeness,0.0027,0.7160
