timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_093923,phase_6,flan-t5-base,csqa,synonym,5,20,500,105,0.7400,control,0.2935,0.7180
20260422_093923,phase_6,flan-t5-base,csqa,synonym,5,20,500,105,0.7400,metacognition,0.6070,0.6920
20260422_093923,phase_6,flan-t5-base,csqa,synonym,5,20,500,105,0.7400,structure,0.2922,0.6600
20260422_093923,phase_6,flan-t5-base,csqa,synonym,5,20,500,105,0.7400,politeness,0.2852,0.7000
