timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_103857,phase_6,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,control,0.1340,0.7400
20260422_103857,phase_6,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,metacognition,0.4596,0.7060
20260422_103857,phase_6,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,structure,0.1368,0.6580
20260422_103857,phase_6,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,politeness,0.1305,0.7160
