timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_130142,phase_4,flan-t5-base,qasc,synonym,3,20,500,86379,0.4600,control,0.2614,0.4480
20260408_130142,phase_4,flan-t5-base,qasc,synonym,3,20,500,86379,0.4600,metacognition,0.2649,0.4040
20260408_130142,phase_4,flan-t5-base,qasc,synonym,3,20,500,86379,0.4600,structure,0.2418,0.3960
20260408_130142,phase_4,flan-t5-base,qasc,synonym,3,20,500,86379,0.4600,politeness,0.2710,0.4480
