timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_130301,phase_4,flan-t5-base,qasc,synonym,1,20,500,86379,0.4600,control,0.1411,0.4480
20260408_130301,phase_4,flan-t5-base,qasc,synonym,1,20,500,86379,0.4600,metacognition,0.1589,0.4040
20260408_130301,phase_4,flan-t5-base,qasc,synonym,1,20,500,86379,0.4600,structure,0.1493,0.3960
20260408_130301,phase_4,flan-t5-base,qasc,synonym,1,20,500,86379,0.4600,politeness,0.1490,0.4480
