timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_125218,phase_6,flan-t5-base,qasc,paraphrase,0,20,500,2266,0.4300,control,0.3655,0.4400
20260422_125218,phase_6,flan-t5-base,qasc,paraphrase,0,20,500,2266,0.4300,metacognition,0.6119,0.4160
20260422_125218,phase_6,flan-t5-base,qasc,paraphrase,0,20,500,2266,0.4300,structure,0.3719,0.3900
20260422_125218,phase_6,flan-t5-base,qasc,paraphrase,0,20,500,2266,0.4300,politeness,0.3710,0.4420
