timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260422_114702,phase_6,flan-t5-base,csqa,paraphrase,0,20,500,105,0.7400,control,0.3207,0.7180
20260422_114702,phase_6,flan-t5-base,csqa,paraphrase,0,20,500,105,0.7400,metacognition,0.5568,0.6920
20260422_114702,phase_6,flan-t5-base,csqa,paraphrase,0,20,500,105,0.7400,structure,0.3193,0.6600
20260422_114702,phase_6,flan-t5-base,csqa,paraphrase,0,20,500,105,0.7400,politeness,0.3164,0.7000
