timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260417_153653,phase_5,phi-3-mini,csqa,synonym,1,20,500,86379,0.7800,control,0.1798,0.7460
20260417_153653,phase_5,phi-3-mini,csqa,synonym,1,20,500,86379,0.7800,metacognition,0.3177,0.7240
20260417_153653,phase_5,phi-3-mini,csqa,synonym,1,20,500,86379,0.7800,structure,0.8356,0.7080
20260417_153653,phase_5,phi-3-mini,csqa,synonym,1,20,500,86379,0.7800,politeness,0.3106,0.7520
