timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_072223,phase_4,phi-3-mini,csqa,synonym,5,20,500,105,0.6900,control,0.2746,0.7260
20260408_072223,phase_4,phi-3-mini,csqa,synonym,5,20,500,105,0.6900,metacognition,0.2412,0.7160
20260408_072223,phase_4,phi-3-mini,csqa,synonym,5,20,500,105,0.6900,structure,0.3257,0.7040
20260408_072223,phase_4,phi-3-mini,csqa,synonym,5,20,500,105,0.6900,politeness,0.2746,0.7300
