timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_081837,phase_4,phi-3-mini,csqa,synonym,5,20,500,86379,0.7800,control,0.2778,0.7460
20260408_081837,phase_4,phi-3-mini,csqa,synonym,5,20,500,86379,0.7800,metacognition,0.2480,0.7260
20260408_081837,phase_4,phi-3-mini,csqa,synonym,5,20,500,86379,0.7800,structure,0.3363,0.7060
20260408_081837,phase_4,phi-3-mini,csqa,synonym,5,20,500,86379,0.7800,politeness,0.2858,0.7500
