timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_050230,phase_4,phi-3-mini,csqa,synonym,3,20,500,2266,0.7300,control,0.2504,0.7340
20260408_050230,phase_4,phi-3-mini,csqa,synonym,3,20,500,2266,0.7300,metacognition,0.2295,0.7280
20260408_050230,phase_4,phi-3-mini,csqa,synonym,3,20,500,2266,0.7300,structure,0.2985,0.7100
20260408_050230,phase_4,phi-3-mini,csqa,synonym,3,20,500,2266,0.7300,politeness,0.2532,0.7460
