timestamp,phase,model,dataset,method,words_to_replace,num_perturbations,sample_size,seed,ootb_accuracy,prompt_style,variation_ratio,accuracy
20260408_122241,phase_4,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,control,0.1336,0.7400
20260408_122241,phase_4,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,metacognition,0.1333,0.7060
20260408_122241,phase_4,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,structure,0.1351,0.6580
20260408_122241,phase_4,flan-t5-base,csqa,synonym,1,20,500,86379,0.7600,politeness,0.1301,0.7160
